,Countries and areas,Under-five mortality rate 1990,Under-five mortality rate 2000,Under-five mortality rate 2021,Annual rate of reduction in under-five mortality rate 2000-2021,Under-five mortality rate Male 2021,Under-five mortality rate Female 2021,Infant mortality rate 1990,Infant mortality rate 2021,Neonatal mortality rate 1990,Neonatal mortality rate 2000,Neonatal mortality rate 2021,Mortality rate among children aged 5 to 14 years 1990,Mortality rate among children aged 5 to 14 years 2021,Stillbirth rate 2000,Stillbirth rate 2021,Annual rate of reduction in stillbirth rate 2000-2021,Under-five deaths 2021,Neonatal deaths 2021,Neonatal deaths as a percentage of under-five deaths 2021,Deaths among children aged 5 to 14 years 2021,Stillbirths 2021
0,Afghanistan,178,129,56,4,59,52,121,43,74,61,34,19,4,35,26,1.5,"77,811","49,061",63,"4,396","37,980"
1,Albania,41,27,9,5,10,9,35,8,13,12,7,6,2,7,4,2.3,279,209,75,59,128
2,Algeria,52,42,22,3,24,21,44,19,24,22,16,9,3,20,10,3.5,"21,567","14,888",69,"2,475","9,429"
3,Andorra,13,8,3,4.8,3,2,9,3,7,4,1,3,1,4,2,2.3,2,1,50,0,1
4,Angola,224,205,69,5.2,75,63,132,47,54,50,27,55,16,28,19,1.8,"89,896","35,644",40,"15,451","26,351"
5,Anguilla,17,10,4,4.1,4,4,14,4,9,5,2,3,1,0,0,0,1,0,0,0,0
6,Antigua and Barbuda,14,16,6,4.4,7,6,11,5,8,10,3,3,2,9,5,2.6,7,4,57,2,6
7,Argentina,29,20,7,5,8,6,25,6,15,11,5,3,1,8,4,2.8,"4,410","3,232",73,"1,064","2,719"
8,Armenia,49,31,11,5,12,10,42,10,23,16,6,3,2,20,11,3,372,190,51,74,369
9,Australia,9,6,4,2.4,4,3,8,3,5,4,2,2,1,4,2,2.1,"1,111",706,64,239,714
10,Austria,10,6,4,1.9,4,3,8,3,5,3,2,2,1,3,2,0.7,308,198,64,64,207
11,Azerbaijan,95,75,19,6.6,20,17,76,17,31,34,10,6,3,19,9,3.7,"2,435","1,210",50,553,"1,117"
12,Bahamas,23,16,13,1,14,12,20,11,14,8,7,4,2,12,11,0.4,61,33,54,13,53
13,Bahrain,23,12,7,2.8,7,7,20,6,15,5,3,4,2,8,6,1.7,128,52,41,36,102
14,Bangladesh,146,86,27,5.5,29,25,101,23,66,44,16,24,5,41,21,3.3,"82,081","48,319",59,"13,637","63,199"
15,Barbados,18,15,12,1.1,13,11,16,11,12,9,8,3,2,8,8,0.5,36,24,67,5,23
16,Belarus,15,13,3,7.4,3,2,12,2,10,5,1,4,1,5,2,4.1,251,78,31,122,195
17,Belgium,10,6,4,1.7,5,4,8,3,5,3,2,2,1,3,3,0.7,476,283,59,102,342
18,Belize,38,24,11,3.6,12,10,31,10,19,12,7,5,3,10,7,1.9,80,53,66,21,50
19,Benin,173,137,84,2.3,89,77,104,55,45,39,29,42,19,28,20,1.6,"38,680","13,907",36,"6,514","9,713"
20,Bhutan,127,77,27,5.1,29,24,89,22,42,32,15,17,7,17,9,3,263,144,55,95,88
21,Bolivia (Plurinational State of),121,76,25,5.3,27,22,84,20,41,29,13,12,4,16,9,2.7,"6,484","3,477",54,988,"2,333"
22,Bosnia and Herzegovina,18,10,6,2.7,6,5,16,5,11,7,4,3,1,4,3,2,159,113,71,40,74
23,Botswana,45,74,35,3.6,38,31,34,28,18,8,18,19,7,11,15,-1.5,"2,131","1,098",52,383,912
24,Brazil,63,35,14,4.2,16,13,53,13,26,19,8,4,2,10,7,1.8,"40,107","23,391",58,"6,566","19,411"
25,British Virgin Islands,19,16,10,1.9,11,9,17,10,10,8,5,3,2,0,0,0,2,1,50,1,0
26,Brunei Darussalam,13,10,11,-0.5,12,10,10,10,6,5,6,4,2,5,5,0.2,72,38,53,13,30
27,Bulgaria,18,17,6,4.8,7,6,15,5,8,8,3,4,2,8,5,1.6,377,175,46,106,317
28,Burkina Faso,199,179,83,3.7,87,78,99,52,46,41,25,38,17,29,20,1.7,"63,466","19,832",31,"10,688","16,351"
29,Burundi,170,155,53,5.1,57,48,103,38,39,37,20,59,19,29,18,2.2,"22,715","8,943",39,"7,263","8,130"
30,Cabo Verde,60,38,14,4.9,15,12,47,12,20,19,8,6,2,15,9,2.2,136,84,62,20,92
31,Cambodia,116,106,25,6.9,28,22,85,21,40,35,13,32,4,25,11,3.7,"8,013","4,119",51,"1,431","3,705"
32,Cameroon,136,144,70,3.5,75,64,85,47,40,35,26,32,21,24,19,1.1,"64,977","24,360",37,"15,529","18,288"
33,Canada,8,6,5,1,5,5,7,4,4,4,3,2,1,3,3,0.7,"1,873","1,274",68,368,"1,041"
34,Central African Republic,177,166,100,2.4,107,93,115,75,51,43,32,30,23,31,26,0.8,"22,387","7,483",33,"3,924","6,337"
35,Chad,212,184,107,2.6,114,100,112,66,52,44,32,49,23,32,25,1.2,"76,471","24,070",31,"11,491","19,317"
36,Chile,19,11,7,2.4,7,6,16,6,9,6,4,3,1,4,3,2.2,"1,492",981,66,308,609
37,China,54,37,7,7.9,7,7,43,5,30,21,3,7,2,15,5,5.3,"88,271","34,850",39,"31,781","53,551"
38,Colombia,36,25,13,3.2,14,11,29,11,18,14,7,5,2,9,7,1.2,"9,382","5,106",54,"1,748","5,255"
39,Comoros,126,96,50,3.2,52,47,89,39,50,40,26,16,5,30,24,0.9,"1,192",622,52,109,600
40,Congo,91,114,43,4.6,47,39,60,32,27,30,18,31,7,21,16,1.4,"7,604","3,297",43,"1,050","2,868"
41,Cook Islands,24,18,7,4.4,7,7,20,6,13,10,4,5,2,10,5,3.4,2,1,50,0,1
42,Costa Rica,17,13,8,2.6,8,7,14,6,9,8,5,3,2,5,4,0.8,479,328,68,121,260
43,Cte d'Ivoire,153,143,75,3.1,83,67,104,56,49,46,32,28,24,30,22,1.4,"68,056","30,095",44,"17,524","21,042"
44,Croatia,13,8,5,2.8,5,4,11,4,8,6,3,3,1,5,3,2.5,165,97,59,50,105
45,Cuba,14,9,5,2.7,5,4,11,4,7,4,2,4,2,11,7,2.2,526,239,45,222,703
46,Cyprus,11,7,3,4.1,3,3,10,2,6,4,2,2,1,4,3,2.5,36,21,58,15,33
47,Czechia,12,5,3,3.3,3,2,10,2,7,3,1,2,1,3,3,0.2,293,150,51,97,285
48,Democratic People's Republic of Korea,43,60,15,6.5,17,14,33,10,22,27,8,8,3,15,8,2.9,"5,297","2,835",54,"1,122","2,878"
49,Democratic Republic of the Congo,186,160,79,3.4,85,72,120,62,42,39,26,37,20,32,28,0.6,"307,593","106,733",35,"54,698","114,852"
50,Denmark,9,6,4,2.2,4,3,7,3,4,3,2,2,1,3,2,2.4,222,156,70,41,121
51,Djibouti,118,101,54,2.9,59,49,92,46,49,44,30,26,12,36,27,1.4,"1,316",725,55,279,674
52,Dominica,16,17,36,-3.6,39,33,13,32,10,13,28,4,3,11,15,-1.5,34,27,79,3,15
53,Dominican Republic,60,40,33,0.9,36,30,46,27,24,23,23,7,3,15,13,0.8,"6,799","4,705",69,641,"2,640"
54,Ecuador,54,30,12,4.1,14,11,42,11,22,14,7,7,2,16,9,2.7,"3,722","1,989",53,755,"2,670"
55,Egypt,86,47,19,4.3,20,18,63,16,33,22,10,11,4,17,9,3,"46,892","24,704",53,"9,740","22,876"
56,El Salvador,60,33,12,4.7,14,11,46,11,23,15,6,6,4,20,9,3.9,"1,268",618,49,422,906
57,Equatorial Guinea,179,156,77,3.4,83,70,121,57,50,46,28,35,15,19,15,1.1,"3,768","1,416",38,634,758
58,Eritrea,153,85,38,3.8,43,33,94,29,35,27,17,41,7,21,16,1.4,"3,892","1,799",46,674,"1,704"
59,Estonia,18,11,2,8.1,2,2,14,2,10,5,1,5,1,5,2,4.1,28,12,43,15,26
60,Eswatini,68,112,53,3.6,57,48,52,41,23,29,23,11,11,16,14,0.6,"1,526",670,44,314,416
61,Ethiopia,201,140,47,5.2,52,41,120,34,59,48,26,74,7,33,21,2.2,"177,737","101,951",57,"21,616","81,798"
62,Fiji,29,23,28,-1,30,25,24,23,13,10,14,12,5,10,9,0.6,501,247,49,88,165
63,Finland,7,4,2,3.2,2,2,6,2,4,2,1,2,1,3,2,1.5,102,60,59,44,91
64,France,9,5,4,1,5,4,7,3,4,3,3,2,1,5,3,2.3,"2,985","1,713",57,564,"2,083"
65,Gabon,92,84,40,3.6,44,36,60,29,31,28,19,18,12,18,14,1.1,"2,512","1,203",48,629,908
66,Gambia,167,114,48,4.1,53,43,81,34,50,40,25,33,10,27,21,1.3,"4,138","2,221",54,730,"1,887"
67,Georgia,48,37,9,6.5,11,8,41,8,25,23,5,4,2,16,6,4.9,474,272,57,96,288
68,Germany,9,5,4,1.9,4,3,7,3,3,3,2,2,1,3,3,0.3,"2,723","1,673",61,569,"2,115"
69,Ghana,128,100,44,3.9,48,39,80,33,42,36,23,25,10,28,21,1.3,"39,423","20,641",52,"8,049","19,787"
70,Greece,10,6,4,2.6,4,3,9,3,6,4,2,2,1,5,3,1.8,299,178,60,78,245
71,Grenada,22,15,16,-0.2,17,15,18,14,12,8,10,5,4,9,9,-0.2,32,20,63,8,18
72,Guatemala,80,52,23,3.9,25,21,60,20,28,21,11,13,3,20,13,1.9,"8,704","4,021",46,"1,311","5,030"
73,Guinea,233,166,99,2.5,106,91,138,64,62,46,31,43,18,30,23,1.2,"44,995","14,486",32,"6,529","11,089"
74,Guinea-Bissau,223,174,74,4.1,80,68,132,50,64,55,34,45,13,46,31,1.8,"4,693","2,197",47,722,"2,064"
75,Guyana,61,47,28,2.5,31,24,47,23,31,27,17,5,5,19,13,1.7,450,276,61,71,217
76,Haiti,145,104,59,2.7,64,53,100,45,39,30,24,28,12,21,18,0.8,"15,748","6,540",42,"2,904","4,859"
77,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Honduras,58,37,17,3.9,18,15,45,14,22,18,10,9,5,14,8,2.7,"3,570","2,059",58,"1,012","1,797"
79,Hungary,17,10,4,4.4,4,4,15,3,11,6,2,3,1,4,4,0.8,369,191,52,88,330
80,Iceland,6,4,3,2,3,2,5,2,3,2,1,2,1,3,2,2,12,6,50,3,8
81,India,127,92,31,5.2,30,31,89,25,57,45,19,21,4,30,12,4.2,"709,366","441,801",62,"100,307","286,482"
82,Indonesia,84,52,22,4.1,24,20,62,19,31,23,11,13,5,15,9,2.5,"100,012","50,931",51,"22,469","41,163"
83,Iran (Islamic Republic of),57,36,13,5,13,12,45,11,25,19,8,14,3,12,7,2.6,"15,806","9,719",61,"4,456","8,746"
84,Iraq,54,44,25,2.8,27,22,42,21,26,24,14,11,5,17,12,1.9,"28,890","16,772",58,"5,673","14,091"
85,Ireland,9,7,3,3.9,3,3,8,3,5,4,2,2,1,5,3,3.2,187,121,65,41,148
86,Israel,12,7,3,3.4,4,3,10,3,6,4,2,2,1,4,3,2.1,589,302,51,126,480
87,Italy,10,6,3,3.6,3,2,8,2,6,3,1,2,1,3,2,1.1,"1,081",604,56,333,915
88,Jamaica,28,21,12,2.5,14,11,23,11,18,17,10,4,3,18,14,1.2,414,342,83,103,483
89,Japan,6,5,2,3.2,2,2,5,2,3,2,1,2,1,3,2,2.3,"1,930",667,35,758,"1,292"
90,Jordan,36,27,15,2.9,16,13,30,13,20,16,9,5,2,12,9,1.5,"3,545","2,087",59,580,"2,221"
91,Kazakhstan,52,43,10,6.8,12,9,44,9,23,24,5,6,3,11,8,1.5,"4,295","2,081",48,938,"3,384"
92,Kenya,102,99,37,4.7,40,34,65,28,27,27,18,16,9,20,19,0.3,"54,038","27,040",50,"12,259","27,720"
93,Kiribati,92,68,48,1.6,52,44,67,38,35,28,21,15,9,18,14,1.1,168,73,43,28,50
94,Kuwait,18,13,9,1.8,10,8,15,7,10,7,5,5,2,7,5,1,434,217,50,114,242
95,Kyrgyzstan,65,50,17,5,19,15,54,16,24,20,12,6,3,11,6,2.5,"2,774","1,881",68,390,"1,018"
96,Lao People's Democratic Republic,154,107,43,4.4,47,38,106,34,47,38,21,42,7,23,16,1.7,"6,939","3,434",49,"1,031","2,666"
97,Latvia,17,14,4,6.4,4,3,13,3,8,7,2,5,1,6,3,2.7,65,35,54,19,58
98,Lebanon,32,20,8,4.2,9,8,27,7,20,12,5,6,2,11,6,2.9,724,404,56,216,505
99,Lesotho,84,107,73,1.8,79,66,68,57,39,36,35,16,8,37,27,1.5,"4,312","2,100",49,423,"1,632"
100,Liberia,264,189,76,4.3,82,70,176,57,60,48,30,32,17,30,23,1.3,"12,187","4,866",40,"2,377","3,806"
101,Libya,42,28,11,4.6,12,10,36,9,21,15,6,8,3,12,7,2.5,"1,306",692,53,357,827
102,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Lithuania,15,11,3,5.6,4,3,12,3,8,5,2,4,1,5,3,3,91,51,56,37,69
104,Luxembourg,9,5,3,2.4,3,2,7,2,4,2,2,2,0,4,4,-0.1,18,11,61,2,24
105,Madagascar,156,105,66,2.2,71,61,95,45,39,31,24,36,21,20,18,0.5,"57,839","21,571",37,"15,623","16,743"
106,Malawi,245,174,42,6.8,46,37,142,31,51,39,19,38,12,22,16,1.5,"26,800","12,608",47,"6,771","10,668"
107,Malaysia,17,10,8,1.4,8,7,14,6,8,5,4,5,2,5,5,-0.3,"3,866","2,153",56,908,"2,590"
108,Maldives,86,39,6,9,6,5,63,5,39,22,4,9,1,15,5,5.4,44,30,68,11,36
109,Mali,231,188,97,3.1,102,92,120,62,67,51,33,40,21,32,23,1.5,"85,222","30,484",36,"13,891","21,858"
110,Malta,11,8,6,1.3,6,5,10,5,8,5,4,1,1,4,3,1.3,27,18,67,4,14
111,Marshall Islands,47,42,30,1.7,33,26,38,25,18,19,14,9,6,14,11,0.9,26,11,42,6,9
112,Mauritania,117,99,40,4.2,45,36,71,32,45,39,23,20,8,25,17,1.9,"6,070","3,463",57,"1,014","2,604"
113,Mauritius,23,19,17,0.6,18,15,20,15,15,12,11,3,2,13,10,0.9,223,142,64,26,140
114,Mexico,45,28,13,3.6,14,12,36,11,22,14,8,5,2,10,7,1.8,"25,592","15,274",60,"5,372","12,531"
115,Micronesia (Federated States of),49,38,25,2.1,28,22,39,21,24,20,13,9,5,14,11,1.2,58,31,53,12,27
116,Monaco,8,5,3,2.7,3,3,4,1,4,3,2,2,1,3,2,2.8,1,0,0,0,1
117,Mongolia,107,64,15,7,16,13,77,13,30,23,8,11,3,12,4,4.8,"1,074",541,50,222,316
118,Montenegro,16,14,2,8.7,2,2,15,2,11,8,1,2,1,5,3,2,16,7,44,7,24
119,Montserrat,17,11,5,3.5,5,5,15,5,9,6,3,3,1,0,0,0,0,0,0,0,0
120,Morocco,81,52,18,5.1,20,16,64,15,37,28,11,9,2,21,13,2.1,"11,788","7,239",61,"1,626","8,722"
121,Mozambique,246,171,70,4.3,74,65,163,51,62,47,28,61,13,25,17,1.8,"79,353","32,279",41,"11,828","20,723"
122,Myanmar,115,89,42,3.6,46,38,82,34,48,37,22,29,4,20,15,1.6,"38,581","19,939",52,"3,763","13,579"
123,Namibia,73,77,39,3.2,43,35,49,29,28,24,19,14,13,18,17,0.2,"2,703","1,352",50,756,"1,222"
124,Nauru,67,43,28,2.1,30,25,51,23,32,26,18,12,6,14,12,0.9,10,6,60,2,4
125,Nepal,139,79,27,5.1,29,25,96,23,58,39,16,26,5,30,16,3.1,"16,392","9,853",60,"2,775","9,739"
126,Netherlands,8,6,4,2,4,4,7,4,5,4,3,2,1,5,2,4,713,482,68,133,402
127,New Zealand,11,7,5,2.1,5,4,9,4,4,4,3,3,1,4,3,1.6,297,162,55,67,167
128,Nicaragua,67,39,13,5.1,15,12,51,11,23,17,7,7,3,15,10,2.1,"1,868","1,036",55,447,"1,396"
129,Niger,332,229,115,3.3,119,111,134,60,55,44,34,64,33,26,21,0.9,"124,291","38,501",31,"25,100","25,078"
130,Nigeria,209,182,111,2.4,117,104,124,71,50,46,35,38,20,29,22,1.2,"852,298","276,463",32,"116,311","182,307"
131,Niue,25,32,24,1.4,27,22,21,20,13,17,13,5,5,13,10,1.2,1,0,0,0,0
132,North Macedonia,37,16,5,5.2,6,5,33,5,17,9,3,3,2,11,4,5,108,69,64,35,77
133,Norway,9,5,2,3.8,2,2,7,2,4,3,1,2,1,4,2,2.7,117,69,59,41,113
134,Oman,39,16,10,2.3,11,9,32,9,17,7,5,8,2,8,6,1.4,870,380,44,180,474
135,Pakistan,140,108,63,2.5,68,59,107,53,64,57,39,14,8,38,31,1,"399,429","251,307",63,"42,924","203,374"
136,Palau,35,28,16,2.7,18,14,30,15,19,15,9,7,4,10,7,1.6,4,2,50,0,2
137,Panama,31,26,14,3,15,12,26,12,18,15,8,5,3,12,8,2.1,"1,067",596,56,232,582
138,Papua New Guinea,85,71,43,2.4,46,39,62,34,32,30,21,14,8,18,15,0.9,"10,765","5,382",50,"1,839","3,811"
139,Paraguay,46,34,18,3,20,16,36,16,22,18,10,7,3,17,10,2.4,"2,512","1,335",53,332,"1,400"
140,Peru,80,38,14,4.7,15,13,57,11,28,16,7,10,2,14,7,3.5,"8,333","4,235",51,"1,475","3,962"
141,Philippines,57,38,26,1.8,28,23,40,20,19,17,12,8,5,14,10,1.5,"63,392","30,500",48,"10,575","25,531"
142,Poland,17,9,4,3.6,5,4,15,4,11,6,3,3,1,4,3,2.4,"1,614","1,005",62,376,941
143,Portugal,15,7,3,4,3,3,12,3,7,3,2,4,1,4,2,2.8,255,137,54,78,180
144,Qatar,21,12,5,4.1,6,5,18,5,11,7,3,4,1,7,3,4.1,152,88,58,37,73
145,Republic of Korea,16,8,3,4.6,3,3,13,2,7,3,1,4,1,3,2,2.8,860,400,47,341,505
146,Republic of Moldova,33,31,14,3.8,16,13,28,12,19,21,11,5,2,12,7,2.6,552,402,73,98,268
147,Romania,31,21,6,5.7,7,6,24,5,16,10,3,5,2,6,3,2.7,"1,281",632,49,341,665
148,Russian Federation,22,19,5,6.4,6,5,17,4,11,9,2,5,2,7,3,3.4,"7,347","2,857",39,"3,103","4,616"
149,Rwanda,150,185,39,7.4,43,36,92,30,41,44,18,62,15,28,17,2.5,"15,638","7,070",45,"5,184","6,876"
150,Saint Kitts and Nevis,30,24,15,2.3,16,13,25,12,19,17,10,5,3,11,8,1.7,9,6,67,2,5
151,Saint Lucia,22,18,25,-1.4,27,22,18,22,12,12,13,5,3,14,11,0.9,52,27,52,7,23
152,Saint Vincent and the Grenadines,24,22,14,2.3,15,12,20,13,13,13,8,4,5,10,12,-0.7,19,11,58,7,16
153,Samoa,30,21,17,1.1,18,15,25,14,13,9,7,5,2,9,8,1,99,39,39,13,46
154,San Marino,14,6,2,5.6,2,2,12,2,7,3,1,3,1,3,2,2.8,0,0,0,0,0
155,Sao Tome and Principe,109,82,15,8,17,14,69,12,26,22,8,22,3,16,9,2.8,97,48,49,19,56
156,Saudi Arabia,44,22,7,5.7,7,7,35,6,22,12,3,8,2,9,4,3.3,"4,350","2,060",47,"1,018","2,680"
157,Senegal,139,130,39,5.8,42,35,71,29,40,38,21,34,8,26,19,1.4,"20,831","11,590",56,"3,608","10,713"
158,Serbia,28,13,5,4,6,5,24,5,17,8,4,3,1,5,5,0.4,374,240,64,80,327
159,Seychelles,16,14,14,0,15,13,14,12,11,9,9,4,2,9,9,-0.3,23,14,61,4,15
160,Sierra Leone,261,226,105,3.7,111,98,155,78,52,48,31,42,25,33,23,1.7,"27,155","8,166",30,"5,444","6,254"
161,Singapore,8,4,2,2.9,2,2,6,2,4,2,1,2,1,3,2,2.2,87,32,37,29,79
162,Slovakia,15,10,6,2.6,6,5,13,5,9,5,3,3,1,4,3,1.2,312,152,49,69,168
163,Slovenia,10,5,2,4.4,2,2,9,2,6,3,1,2,1,4,3,1.6,42,24,57,15,49
164,Solomon Islands,38,31,19,2.3,20,17,31,16,15,13,8,7,4,12,9,1.4,393,160,41,73,196
165,Somalia,180,173,112,2.1,117,105,109,71,45,45,36,39,25,33,28,0.7,"79,723","26,719",34,"12,490","21,450"
166,South Africa,62,71,33,3.7,35,30,48,26,22,17,11,7,6,21,16,1.2,"38,868","12,979",33,"6,240","19,337"
167,South Sudan,251,182,99,2.9,104,94,149,64,64,56,40,54,22,31,26,0.9,"31,312","12,408",40,"7,502","8,312"
168,Spain,9,5,3,2.7,3,3,7,3,5,3,2,2,1,3,2,2,"1,089",637,58,322,776
169,Sri Lanka,23,17,7,4.3,7,6,19,6,14,10,4,6,2,11,6,2.7,"2,088","1,179",56,527,"1,849"
170,State of Palestine,45,30,15,3.4,16,13,36,13,23,17,9,5,3,14,9,1.8,"2,147","1,350",63,449,"1,377"
171,Sudan,132,104,55,3.1,60,50,82,39,43,37,27,26,8,28,22,1.1,"82,570","40,883",50,"9,027","34,499"
172,Suriname,45,31,17,2.9,19,15,39,15,21,17,11,5,4,14,11,1.2,190,119,63,42,123
173,Sweden,7,4,2,2.4,3,2,6,2,4,2,1,1,1,4,2,2,279,153,55,85,278
174,Switzerland,8,6,4,1.8,4,4,7,3,4,3,3,2,1,3,2,0.6,332,235,71,60,211
175,Syrian Arab Republic,37,23,22,0.2,24,20,30,18,17,12,11,10,5,12,11,0.4,"9,057","4,621",51,"2,432","4,615"
176,Tajikistan,103,84,31,4.7,35,27,81,28,31,28,14,8,2,14,9,2,"8,189","3,540",43,469,"2,403"
177,Thailand,37,22,8,4.6,9,7,30,7,21,12,5,6,4,10,5,2.7,"5,429","3,035",56,"3,357","3,531"
178,Timor-Leste,176,111,51,3.8,55,46,132,43,57,39,22,26,9,22,14,2,"1,653",733,44,290,481
179,Togo,148,120,63,3.1,68,57,91,43,44,37,24,33,12,27,21,1.3,"16,919","6,618",39,"2,600","5,872"
180,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Tonga,22,17,11,2,12,10,19,10,10,7,5,3,2,8,6,1.3,27,12,44,5,16
182,Trinidad and Tobago,30,28,16,2.6,18,15,27,15,20,18,10,4,2,12,9,1.5,294,184,63,44,157
183,Tunisia,55,30,16,2.9,18,15,43,14,28,18,12,7,3,15,11,1.7,"3,281","2,278",69,636,"2,097"
184,Trkiye,74,38,9,6.9,10,8,56,8,32,19,5,9,2,11,4,4.7,"11,390","5,883",52,"2,341","5,280"
185,Turkmenistan,79,70,41,2.5,47,35,65,36,27,30,23,7,4,11,9,0.8,"5,728","3,217",56,473,"1,309"
186,Turks and Caicos Islands,14,9,4,3.1,5,4,11,4,8,5,2,3,1,0,0,0,2,1,50,0,0
187,Tuvalu,53,42,21,3.3,23,19,41,18,28,24,10,10,5,15,9,2.4,6,3,50,1,2
188,Uganda,183,146,42,5.9,47,37,107,31,40,33,19,29,13,23,15,2,"69,025","32,037",46,"17,089","25,855"
189,Ukraine,19,18,8,3.8,9,7,16,7,12,11,5,4,2,7,5,1.7,"2,834","1,622",57,802,"1,669"
190,United Arab Emirates,17,11,6,2.7,7,6,14,5,8,6,3,4,2,8,5,2.8,618,337,55,148,454
191,United Kingdom,9,7,4,2.1,5,4,8,4,4,4,3,2,1,4,3,2.4,"2,864","1,893",66,585,"1,836"
192,United Republic of Tanzania,167,130,47,4.8,51,43,100,34,40,34,20,27,13,26,18,1.7,"105,694","46,050",44,"22,341","42,873"
193,United States,11,8,6,1.4,7,6,9,5,6,5,3,2,1,3,3,0.9,"23,162","12,169",53,"5,703","10,196"
194,Uruguay,23,17,6,5.1,6,5,20,5,12,8,4,3,1,7,5,2,211,143,68,70,173
195,Uzbekistan,70,61,14,6.9,16,12,58,13,30,28,8,7,3,12,6,3.4,"11,404","6,172",54,"2,043","4,740"
196,Vanuatu,36,29,23,1,25,21,30,20,17,12,10,7,5,12,11,0.5,216,93,43,40,101
197,Venezuela (Bolivarian Republic of),30,22,24,-0.6,26,22,25,21,13,11,15,4,4,10,11,-0.5,"11,322","6,779",60,"2,006","4,882"
198,Viet Nam,52,30,21,1.8,24,17,37,16,24,15,11,10,3,11,8,1.6,"30,455","15,404",51,"3,982","11,822"
199,Yemen,126,95,62,2,66,58,89,47,44,37,28,18,7,24,23,0.1,"61,914","28,554",46,"5,902","24,195"
200,Zambia,182,156,58,4.7,62,53,108,40,37,35,25,27,10,22,14,2.1,"37,822","16,492",44,"5,558","9,703"
201,Zimbabwe,80,96,50,3.2,54,45,51,36,23,28,25,13,11,23,19,0.8,"23,960","12,211",51,"4,684","9,711"
